"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType","Site","Container"
"localSystem","BDESVC는 BitLocker 드라이브 암호화 서비스를 호스트합니다. BitLocker 드라이브 암호화는 OS, 고정 또는 이동식 볼륨에 대한 전체 볼륨 암호화는 물론 운영 체제에 대한 보안 시작 기능을 제공합니다. 이 서비스를 통해 BitLocker는 볼륨이 마운트될 때 볼륨과 관련된 다양한 작업을 사용자에게 알리고, 사용자의 개입 없이 자동으로 볼륨의 잠금을 해제할 수 있습니다. 또한 Active Directory에 대한 복구 정보를 저장하고 가능한 경우 필요하다면 가장 최신의 복구 인증서가 사용되도록 합니다. 서비스를 중지하거나 비활성화하면 사용자가 이 기능을 활용할 수 없습니다.","False","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"NT AUTHORITY\LocalService","BFE(기본 필터링 엔진)는 방화벽 및 IPsec(인터넷 프로토콜 보안) 정책을 관리하고 사용자 모드 필터링을 구현하는 서비스입니다. BFE 서비스를 중지하거나 사용하지 않으면 시스템의 보안이 크게 저하됩니다. 또한 IPsec 관리 및 방화벽 응용 프로그램에서 예상할 수 없는 동작이 발생합니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Automatic","BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine","System.ServiceProcess.ServiceController[]",".","BFE","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","유휴 상태인 네트워크 대역폭을 사용하여 백그라운드에서 다른 작업을 하면서 파일을 전송합니다. 서비스를 사용하지 않도록 설정하면 BITS와 관련된 응용 프로그램(예: Windows 업데이트 및 MSN Explorer)에서 프로그램 및 기타 정보를 자동으로 다운로드할 수 없게 됩니다.","True","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","BITS","System.ServiceProcess.ServiceController[]","False","False","False","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32ShareProcess",,
"","Bluetooth 사용자 서비스는 각 사용자 세션에 관련 된 Bluetooth 기능이 제대로 작동하도록 지원합니다.","False","C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p","Manual","BluetoothUserService_7cc3d","System.ServiceProcess.ServiceController[]","False","False","True","BluetoothUserService_7cc3d","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_7cc3d","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","240",,
"LocalSystem","시스템에서 실행할 수 있는 백그라운드 작업을 제어하는 Windows 인프라 서비스입니다.","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Automatic","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"NT AUTHORITY\LocalService","Bluetooth 핸즈프리 프로필의 오디오 게이트웨이 역할을 지원하는 서비스입니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted","Manual","BTAGService","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth 오디오 게이트웨이 서비스","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","오디오 비디오 제어 전송 프로토콜 서비스입니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP 서비스","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Bluetooth 서비스는 원격 Bluetooth 디바이스 검색 및 연결을 지원합니다. 이 서비스를 중지하거나 사용하지 않도록 설정하면 이미 설치된 Bluetooth 디바이스가 제대로 작동하지 않을 수 있고 새 디바이스가 검색되거나 연결되지 않을 수 있습니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","bthserv","System.ServiceProcess.ServiceController[]","False","True","True","Bluetooth 지원 서비스","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","앱 기능에 대한 UWP 앱 액세스 관리뿐만 아니라 특정 앱 기능에 대한 앱의 액세스 검사 기능을 제공합니다.","False","C:\WINDOWS\system32\svchost.exe -k osprivacy -p","Manual","camsvc","System.ServiceProcess.ServiceController[]","False","True","True","기능 액세스 관리자 서비스","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"","Windows.Graphics.Capture API를 호출하는 응용 프로그램에 대해 선택적 화면 캡처 기능을 사용하도록 설정합니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","CaptureService_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_7cc3d","System.ServiceProcess.ServiceController[]",".","CaptureService_7cc3d","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","224",,
"","이 사용자 서비스는 클립보드 시나리오에 사용됩니다.","True","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p","AutomaticDelayedStart","cbdhsvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","True","cbdhsvc_7cc3d","System.ServiceProcess.ServiceController[]",".","cbdhsvc_7cc3d","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","240",,
"NT AUTHORITY\LocalService","이 서비스는 연결된 디바이스 플랫폼 시나리오에 사용됩니다.","True","C:\WINDOWS\system32\svchost.exe -k LocalService -p","AutomaticDelayedStart","CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","연결된 디바이스 플랫폼 서비스","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"","이 사용자 서비스는 연결된 디바이스 플랫폼 시나리오에 사용됩니다.","False","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Automatic","CDPUserSvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","True","CDPUserSvc_7cc3d","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_7cc3d","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","240",,
"LocalSystem","스마트 카드의 사용자 인증서 및 루트 인증서를 현재 사용자의 인증서 저장소에 복사하고, 스마트 카드 판독기에 스마트 카드가 삽입되면 감지하며, 필요하면 스마트 카드 플러그 앤 플레이 미니 드라이버를 설치합니다.","False","C:\WINDOWS\system32\svchost.exe -k netsvcs","Manual","CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","‪Microsoft 365 및 Office 제품 및 관련 업데이트의 리소스 조정, 백그라운드 스트리밍 및 시스템 통합을 관리합니다. 이 서비스는 초기 스트리밍 설치 및 모든 후속 업데이트 중에 Microsoft 365 및 Office 프로그램을 사용하는 동안 실행되어야 합니다.‬","False","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","Automatic","ClickToRunSvc","System.ServiceProcess.ServiceController[]","False","True","True","Microsoft Office Click-to-Run Service","System.ServiceProcess.ServiceController[]",".","ClickToRunSvc","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess",,
"LocalSystem","Microsoft Store에 대한 인프라 지원을 제공합니다. 이 서비스는 요청 시 시작되며, 사용하지 않도록 설정한 경우 Microsoft Store에서 구입한 응용 프로그램이 올바르게 작동하지 않습니다.","False","C:\WINDOWS\System32\svchost.exe -k wsappx -p","Manual","ClipSVC","System.ServiceProcess.ServiceController[]","False","False","False","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess, Win32ShareProcess",,
"","시스템에서 애플리케이션 및 설정 상태의 변경 내용을 모니터링하고 필요한 경우 클라우드 백업 및 복원 작업을 수행합니다.","False","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Manual","CloudBackupRestoreSvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","CloudBackupRestoreSvc_7cc3d","System.ServiceProcess.ServiceController[]",".","CloudBackupRestoreSvc_7cc3d","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","224",,
"NT AUTHORITY\NetworkService","Microsoft 클라우드 ID 서비스와의 통합을 지원합니다.  사용하지 않도록 설정하면 테넌트 제한이 제대로 적용되지 않습니다.","False","C:\WINDOWS\system32\svchost.exe -k CloudIdServiceGroup -p","Manual","cloudidsvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft 클라우드 ID 서비스","System.ServiceProcess.ServiceController[]",".","cloudidsvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","COM+ 기반 구성 요소의 구성 및 추적을 관리합니다. 서비스가 중지되면 대부분의 COM+ 기반 구성 요소는 제대로 작동하지 않습니다. 서비스를 사용하지 않도록 설정하면 관련된 모든 서비스를 시작할 수 없습니다.","False","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Manual","COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"","시스템에서 사용자 동의를 요청하여 앱에서 중요한 리소스에 액세스하고 장치의 위치 등의 정보에 액세스할 수 있도록 허용합니다.","False","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Manual","ConsentUxUserSvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","ConsentUxUserSvc_7cc3d","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_7cc3d","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","224",,
"NT AUTHORITY\LocalService","Manages communication between system components.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW","False","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_c5b8ab411088075f\IntelCpHDCPSvc.exe","Automatic","cplspcon","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HDCP Service","System.ServiceProcess.ServiceController[]",".","cplspcon","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess",,
"","자격 증명 등록 관리자","False","C:\WINDOWS\system32\CredentialEnrollmentManager.exe","Manual","CredentialEnrollmentManagerUserSvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","CredentialEnrollmentManagerUserSvc_7cc3d","System.ServiceProcess.ServiceController[]",".","CredentialEnrollmentManagerUserSvc_7cc3d","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","208",,
"NT Authority\NetworkService","다음 세 가지 관리 서비스를 제공합니다. Windows 파일의 서명을 확인하고 새 프로그램 설치를 허용하는 카탈로그 데이터베이스 서비스, 신뢰된 루트 인증 기관의 인증서를 컴퓨터에 추가 및 제거하는 보호된 루트 서비스, Windows 업데이트에서 루트 인증서를 검색하고 SSL 같은 시나리오를 사용하도록 설정하는 자동 루트 인증서 업데이트 서비스. 이 서비스를 중지하면 이러한 관리 서비스가 제대로 작동하지 않습니다. 이 서비스를 사용하지 않으면 해당 서비스에 명시적으로 의존하는 모든 서비스가 시작되지 않습니다.","False","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Automatic","CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess",,
"LocalSystem","오프라인 파일 서비스는 오프라인 파일 캐시에 대한 유지 관리 작업을 수행하고, 사용자 로그온 및 로그오프 이벤트에 응답하고, 공용 API의 내부 항목을 구현하며, 오프라인 파일 작업과 캐시 상태 변경에 관심이 있는 사용자에게 해당 이벤트를 발송합니다.","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32ShareProcess",,
"LocalSystem",,"False","""C:\WINDOWS\System32\CxAudMsg64.exe""","Automatic","CxAudMsg","System.ServiceProcess.ServiceController[]","False","False","True","CxAudMsg Service","System.ServiceProcess.ServiceController[]",".","CxAudMsg","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess",,
"LocalSystem",,"False","""C:\WINDOWS\System32\CxUIUSvc32.exe""","Automatic","CxUIUSvc","System.ServiceProcess.ServiceController[]","False","False","False","CxUIUSvc Service","System.ServiceProcess.ServiceController[]",".","CxUIUSvc","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","DCOMLAUNCH 서비스는 개체 활성화 요청에 대한 응답으로 COM 및 DCOM 서버를 실행합니다. 이 서비스를 중지하거나 사용하지 않도록 설정하면 COM 또는 DCOM을 사용하는 프로그램이 정상적으로 작동하지 않습니다. DCOMLAUNCH 서비스를 실행하는 것이 좋습니다.","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Automatic","DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","MDM 및 기타 채널에서 선언된 구성 문서를 처리하고 장치에서 구성을 수행합니다.","True","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","dcsvc","System.ServiceProcess.ServiceController[]","False","False","False","DC(구성 선언) 서비스","System.ServiceProcess.ServiceController[]",".","dcsvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","Provides helper APIs to enable device discovery and debugging over the network","False","C:\WINDOWS\System32\svchost.exe -k DevToolsGroup","Automatic","debugregsvc","System.ServiceProcess.ServiceController[]","False","False","False","debugregsvc","System.ServiceProcess.ServiceController[]",".","debugregsvc","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"localSystem","저장소 드라이브의 파일을 최적화하여 컴퓨터를 더 효율적으로 실행할 수 있게 해 줍니다.","False","C:\WINDOWS\system32\svchost.exe -k defragsvc","Manual","defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","Enables scenarios for remote UWP application deployment and debugging","False","C:\WINDOWS\System32\DeveloperToolsSvc.exe","Manual","DeveloperToolsService","System.ServiceProcess.ServiceController[]","False","False","False","Developer Tools Service","System.ServiceProcess.ServiceController[]",".","DeveloperToolsService","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"","Enables apps to pair devices","False","C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p","Manual","DeviceAssociationBrokerSvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","DeviceAssociationBrokerSvc_7cc3d","System.ServiceProcess.ServiceController[]",".","DeviceAssociationBrokerSvc_7cc3d","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"LocalSystem","시스템과 유선 또는 무선 장치 사이의 연결을 가능하게 합니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
